Device,VID,PID,Input Type,Input,Bit range,# bits,Notes
Stick,738,2221,Analog,joy_x,8-23,16,
Stick,738,2221,Analog,joy_y,24-39,16,
Stick,738,2221,Analog,joy_z,40-51,12,
Stick,738,2221,Analog,c_joy_x,80-87,8,
Stick,738,2221,Analog,c_joy_y,88-95,8,
Stick,738,2221,Digital,C,59,1,
Stick,738,2221,Digital,trigger,56,1,
Stick,738,2221,Digital,A,57,1,
Stick,738,2221,Digital,B,58,1,
Stick,738,2221,Digital,D,60,1,
Stick,738,2221,Digital,E,61,1,
Stick,738,2221,Digital-Multi,POV,52-55,4,"0-8 = None, up, up-right, right, etc CW"
Stick,738,2221,Digital-Multi,H1,62-65,4,"Up, right, down, left are the buttons, but supports combinations. E.g. up-right, down-left but not up-down, or left-right for example."
Stick,738,2221,Digital-Multi,H2,66-69,4,"Up, right, down, left are the buttons, but supports combinations. E.g. up-right, down-left but not up-down, or left-right for example."
Throttle,738,a221,Analog,left_throttle,8-17,10,
Throttle,738,a221,Analog,right_throttle,18-27,10,
Throttle,738,a221,Analog,F_wheel,64-71,8,
Throttle,738,a221,Analog,G-wheel,80-87,8,
Throttle,738,a221,Analog,RTY3,104-111,8,
Throttle,738,a221,Analog,RTY4,96-103,8,
Throttle,738,a221,Analog,thumb_joy_x,72-79,8,
Throttle,738,a221,Analog,thumb_joy_y,88-95,8,
Throttle,738,a221,Encoder,pinky_encoder,57-58,2,"Encoder pulses, forward (Bit 57) and backward (Bit 58). A 1 then 0 on the same bit corresponds to one tick."
Throttle,738,a221,Digital,thumb_joy_press,59,1,
Throttle,738,a221,Digital,E,28,1,
Throttle,738,a221,Digital,F,29,1,
Throttle,738,a221,Digital,G,30,1,
Throttle,738,a221,Digital,H,32,1,
Throttle,738,a221,Digital,I,31,1,
Throttle,738,a221,Digital,K1_up,55,1,
Throttle,738,a221,Digital,K1_down,56,1,
Throttle,738,a221,Digital,slide,60,1,"Left position = 0, right position = 1)"
Throttle,738,a221,Digital,SW1,33,1,
Throttle,738,a221,Digital,SW2,34,1,
Throttle,738,a221,Digital,SW3,35,1,
Throttle,738,a221,Digital,SW4,36,1,
Throttle,738,a221,Digital,SW5,37,1,
Throttle,738,a221,Digital,SW6,38,1,
Throttle,738,a221,Digital,TGL1_up,39,1,
Throttle,738,a221,Digital,TGL1_down,40,1,
Throttle,738,a221,Digital,TGL2_up,41,1,
Throttle,738,a221,Digital,TGL2_down,42,1,
Throttle,738,a221,Digital,TGL3_up,43,1,
Throttle,738,a221,Digital,TGL3_down,44,1,
Throttle,738,a221,Digital,TGL4_up,45,1,
Throttle,738,a221,Digital,TGL4_down,46,1,
Throttle,738,a221,Digital,M1,61,1,
Throttle,738,a221,Digital,M2,62,1,
Throttle,738,a221,Digital,S1,63,1,
Throttle,738,a221,Digital-Multi,H3,47-50,4,"Up, right, down, left are the buttons, but supports combinations. E.g. up-right, down-left but not up-down, or left-right for example."
Throttle,738,a221,Digital-Multi,H4,51-54,4,"Up, right, down, left are the buttons, but supports combinations. E.g. up-right, down-left but not up-down, or left-right for example."
